Fourth,Isolate_Count_Sum,Common Name
Anseriformes-Anatidae-Anas-Anas platyrhynchos,6862,Mallard
Charadriiformes-Scolopacidae-Arenaria-Arenaria interpres,1859,Ruddy turnstone
Anseriformes-Anatidae-Spatula-Spatula discors,1237,Blue-winged teal
Anseriformes-Anatidae-Anas-Anas acuta,1011,Northern pintail
Charadriiformes-Laridae-Chroicocephalus-Chroicocephalus ridibundus,998,Black-headed gull
Anseriformes-Anatidae-Anas-Anas crecca,878,Eurasian teal
Anseriformes-Anatidae-Cygnus-Cygnus olor,495,Mute swan
Anseriformes-Anatidae-Spatula-Spatula clypeata,410,Northern shoveler
Anseriformes-Anatidae-Cairina-Cairina moschata,355,Muscovy duck
Anseriformes-Anatidae-Anas-Anas rubripes,282,American black duck
Anseriformes-Anatidae-Cygnus-Cygnus cygnus,259,Whooper swan
Charadriiformes-Laridae-Larus-Larus glaucescens,180,Glaucous-winged gull
Anseriformes-Anatidae-Anser-Anser indicus,178,Bar-headed goose
Anseriformes-Anatidae-Anser-Anser anser,168,Greylag goose
Anseriformes-Anatidae-Anser-Anser fabalis,160,Bean goose
Anseriformes-Anatidae-Anser-Anser albifrons,158,White-fronted goose
Anseriformes-Anatidae-Branta-Branta canadensis,153,Canada goose
Anseriformes-Anatidae-Branta-Branta leucopsis,147,Barnacle goose
Falconiformes-Falconidae-Falco-Falco peregrinus,132,Peregrine falcon
Anseriformes-Anatidae-Mareca-Mareca americana,131,American wigeon
Charadriiformes-Laridae-Sterna-Sterna hirundo,121,Common tern
Charadriiformes-Laridae-Leucophaeus-Leucophaeus atricilla,120,Laughing gull
Anseriformes-Anatidae-Mareca-Mareca penelope,107,Eurasian wigeon
Charadriiformes-Laridae-Larus-Larus argentatus,105,European herring gull
Anseriformes-Anatidae-Mareca-Mareca strepera,101,Gadwall
Charadriiformes-Scolopacidae-Calidris-Calidris canutus,95,Red knot
Charadriiformes-Scolopacidae-Calidris-Calidris alba,93,Sanderling
Anseriformes-Anatidae-Cygnus-Cygnus columbianus,80,Tundra swan
Accipitriformes-Accipitridae-Buteo-Buteo buteo,72,Eurasian buzzard
Anseriformes-Anatidae-Aix-Aix galericulata,72,Mandarin duck
Charadriiformes-Laridae-Larus-Larus marinus,72,Great black-backed gull
Anseriformes-Anatidae-Aythya-Aythya fuligula,67,Tufted duck
Charadriiformes-Laridae-Thalasseus-Thalasseus sandvicensis,63,Sandwich tern
Accipitriformes-Accipitridae-Haliaeetus-Haliaeetus leucocephalus,62,Bald eagle
Anseriformes-Anatidae-Bucephala-Bucephala clangula,59,Common goldeneye
Accipitriformes-Accipitridae-Buteo-Buteo jamaicensis,58,Red-tailed hawk
Galliformes-Phasianidae-Alectoris-Alectoris chukar,57,Chuckar partridge
Anseriformes-Anatidae-Anser-Anser caerulescens,56,Snow goose
Anseriformes-Anatidae-Anser-Anser canagicus,53,Emperor goose
Anseriformes-Anatidae-Sibirionetta-Sibirionetta formosa,44,Baikal teal
Strigiformes-Strigidae-Bubo-Bubo virginianus,44,Great horned owl
Charadriiformes-Scolopacidae-Calidris-Calidris ruficollis,43,Red-necked stint
