Strain_Host_Check_Dictionary,strain_host_use,HostCategory,Commonname,Species,Order-Family-Genus-Species,Taxonomic_Level,Isolate_Count_Sum
cooper s hawk,cooper's hawk,wildbird,Cooper's hawk,Accipiter cooperii,Accipitriformes-Accipitridae-Accipiter-Accipiter cooperii,Species,9
coopers hawk,cooper's hawk,wildbird,Cooper's hawk,Accipiter cooperii,Accipitriformes-Accipitridae-Accipiter-Accipiter cooperii,Species,1
cooper's hawk,cooper's hawk,wildbird,Cooper's hawk,Accipiter cooperii,Accipitriformes-Accipitridae-Accipiter-Accipiter cooperii,Species,7
cooper's s hawk,cooper's hawk,wildbird,Cooper's hawk,Accipiter cooperii,Accipitriformes-Accipitridae-Accipiter-Accipiter cooperii,Species,1
cooper'ss hawk,cooper's hawk,wildbird,Cooper's hawk,Accipiter cooperii,Accipitriformes-Accipitridae-Accipiter-Accipiter cooperii,Species,1
accipiter gentilis schvedowi,accipiter gentilis schvedowi,wildbird,Northern goshawk,Accipiter gentilis,Accipitriformes-Accipitridae-Accipiter-Accipiter gentilis,Species,1
northern goshawk,northern goshawk,wildbird,Northern goshawk,Accipiter gentilis,Accipitriformes-Accipitridae-Accipiter-Accipiter gentilis,Species,18
accipiter gularis,accipiter gularis,wildbird,Japanese sparrowhawk,Accipiter gularis,Accipitriformes-Accipitridae-Accipiter-Accipiter gularis,Species,1
eurasian sparrowhawk,eurasian sparrowhawk,wildbird,Eurasian sparrowhawk,Accipiter nisus,Accipitriformes-Accipitridae-Accipiter-Accipiter nisus,Species,2
sharp shinned hawk,sharp shinned hawk,wildbird,Sharp-shinned Hawk,Accipiter striatus,Accipitriformes-Accipitridae-Accipiter-Accipiter striatus,Species,1
crested goshawk,crested goshawk,wildbird,Crested goshawk,Accipiter trivirgatus,Accipitriformes-Accipitridae-Accipiter-Accipiter trivirgatus,Species,1
goshawk,goshawk,wildbird,NA,NA,Accipitriformes-Accipitridae-Accipiter-NA,Genus,5
sparrowhawk,sparrowhawk,wildbird,NA,NA,Accipitriformes-Accipitridae-Accipiter-NA,Genus,3
golden eagle,golden eagle,wildbird,Golden eagle,Aquila chrysaetos,Accipitriformes-Accipitridae-Aquila-Aquila chrysaetos,Species,2
grey faced buzzard,grey faced buzzard,wildbird,Grey-faced buzzard,Butastur indicus,Accipitriformes-Accipitridae-Butastur-Butastur indicus,Species,1
buteo buteo,buteo buteo,wildbird,Eurasian buzzard,Buteo buteo,Accipitriformes-Accipitridae-Buteo-Buteo buteo,Species,6
common bussard,eurasian buzzard,wildbird,Eurasian buzzard,Buteo buteo,Accipitriformes-Accipitridae-Buteo-Buteo buteo,Species,1
common buzzard,eurasian buzzard,wildbird,Eurasian buzzard,Buteo buteo,Accipitriformes-Accipitridae-Buteo-Buteo buteo,Species,65
red tailed hawk,red tailed hawk,wildbird,Red-tailed hawk,Buteo jamaicensis,Accipitriformes-Accipitridae-Buteo-Buteo jamaicensis,Species,58
eastern buzzard,eastern buzzard,wildbird,Eastern buzzard,Buteo japonicus,Accipitriformes-Accipitridae-Buteo-Buteo japonicus,Species,9
rough legged hawk,rough legged hawk,wildbird,Rough-legged buzzard,Buteo lagopus,Accipitriformes-Accipitridae-Buteo-Buteo lagopus,Species,1
red shouldered hawk,red shouldered hawk,wildbird,Red-shouldered hawk,Buteo lineatus,Accipitriformes-Accipitridae-Buteo-Buteo lineatus,Species,3
swainson's hawk,swainson's hawk,wildbird,Swainson's hawk,Buteo swainsoni,Accipitriformes-Accipitridae-Buteo-Buteo swainsoni,Species,2
western marsh harrier,western marsh harrier,wildbird,Western marsh harrier,Circus aeruginosus,Accipitriformes-Accipitridae-Circus-Circus aeruginosus,Species,2
harrier,harrier,wildbird,NA,NA,Accipitriformes-Accipitridae-Circus-NA,Genus,1
marsh harrier,marsh harrier,wildbird,NA,NA,Accipitriformes-Accipitridae-Circus-NA,Genus,1
red backed hawk,red backed hawk,wildbird,Red-backed hawk,Geranoaetus polyosoma,Accipitriformes-Accipitridae-Geranoaetus-Geranoaetus polyosoma,Species,1
bearded vulture,bearded vulture,wildbird,Bearded vulture,Gypaetus barbatus,Accipitriformes-Accipitridae-Gypaetus-Gypaetus barbatus,Species,1
gypaetus barbatus,gypaetus barbatus,wildbird,Bearded vulture,Gypaetus barbatus,Accipitriformes-Accipitridae-Gypaetus-Gypaetus barbatus,Species,2
gyps fulvus,gyps fulvus,wildbird,Eurasian griffon,Gyps fulvus,Accipitriformes-Accipitridae-Gyps-Gyps fulvus,Species,3
white tailed eagle,white tailed eagle,wildbird,White-tailed sea eagle,Haliaeetus albicilla,Accipitriformes-Accipitridae-Haliaeetus-Haliaeetus albicilla,Species,21
white tailed sea eagle,white tailed sea eagle,wildbird,White-tailed sea eagle,Haliaeetus albicilla,Accipitriformes-Accipitridae-Haliaeetus-Haliaeetus albicilla,Species,3
withe tiled eagle,withe tiled eagle,wildbird,White-tailed sea eagle,Haliaeetus albicilla,Accipitriformes-Accipitridae-Haliaeetus-Haliaeetus albicilla,Species,1
bald eagle,bald eagle,wildbird,Bald eagle,Haliaeetus leucocephalus,Accipitriformes-Accipitridae-Haliaeetus-Haliaeetus leucocephalus,Species,62
black kite,black kite,wildbird,Black kite,Milvus migrans,Accipitriformes-Accipitridae-Milvus-Milvus migrans,Species,2
crested eagle,crested eagle,wildbird,Guiana crested eagle,Morphnus guianensis,Accipitriformes-Accipitridae-Morphnus-Morphnus guianensis,Species,1
anseriformes,anseriformes,wildbird,NA,NA,Anseriformes-NA-NA-NA,Order,7
bl h gull,bl h gull,wildbird,NA,NA,Charadriiformes-NA-NA-NA,Order,1
shorebird,shorebird,wildbird,NA,NA,Charadriiformes-NA-NA-NA,Order,402
wild chicken,wild chicken,wildbird,NA,NA,Galliformes-NA-NA-NA,Order,1
babbler,babbler,wildbird,NA,NA,Passeriformes-NA-NA-NA,Order,1
hooded vulture,hooded vulture,wildbird,Hooded vulture,Necrosyrtes monachus,Accipitriformes-Accipitridae-Necrosyrtes-Necrosyrtes monachus,Species,3
mountain hawk eagle,mountain hawk eagle,wildbird,Mountain hawk eagle,Nisaetus nipalensis,Accipitriformes-Accipitridae-Nisaetus-Nisaetus nipalensis,Species,1
harris hawk,harris hawk,wildbird,Harris's hawk,Parabuteo unicinctus,Accipitriformes-Accipitridae-Parabuteo-Parabuteo unicinctus,Species,4
harris's hawk,harris hawk,wildbird,Harris's hawk,Parabuteo unicinctus,Accipitriformes-Accipitridae-Parabuteo-Parabuteo unicinctus,Species,1
osprey,osprey,wildbird,Osprey,Pandion haliaetus,Accipitriformes-Pandionidae-Pandion-Pandion haliaetus,Species,1
aix galericulata,aix galericulata,wildbird,Mandarin duck,Aix galericulata,Anseriformes-Anatidae-Aix-Aix galericulata,Species,1
decoy duck,decoy duck,wildbird,NA,NA,Anseriformes-Anatidae-NA-NA,Family,1
greyduck,greyduck,wildbird,NA,NA,Anseriformes-Anatidae-NA-NA,Family,1
mallard black duck hybrid,mallard black duck hybrid,wildbird,NA,NA,Anseriformes-Anatidae-NA-NA,Family,11
aalopochen aegyptiaca,alopochen aegyptiaca,wildbird,Egyptian goose,Alopochen aegyptiaca,Anseriformes-Anatidae-Alopochen-Alopochen aegyptiaca,Species,1
egyptian goose,egyptian goose,wildbird,Egyptian goose,Alopochen aegyptiaca,Anseriformes-Anatidae-Alopochen-Alopochen aegyptiaca,Species,7
brazilian teal,brazilian teal,wildbird,Brazilian Teal,Amazonetta brasiliensis,Anseriformes-Anatidae-Amazonetta-Amazonetta brasiliensis,Species,1
anas acuta,anas acuta,wildbird,Northern pintail,Anas acuta,Anseriformes-Anatidae-Anas-Anas acuta,Species,5
northen pintail,northen pintail,wildbird,Northern pintail,Anas acuta,Anseriformes-Anatidae-Anas-Anas acuta,Species,1
norther pintail,northen pintail,wildbird,Northern pintail,Anas acuta,Anseriformes-Anatidae-Anas-Anas acuta,Species,1
northern pintail,northen pintail,wildbird,Northern pintail,Anas acuta,Anseriformes-Anatidae-Anas-Anas acuta,Species,801
mallard x black duck,mallard x black duck,wildbird,NA,NA,Anseriformes-Anatidae-NA-NA,Family,1
pintail,pintail,wildbird,Northern Pintail,Anas acuta,Anseriformes-Anatidae-Anas-Anas acuta,Species,156
migratory duck,migratory duck,wildbird,NA,NA,Anseriformes-Anatidae-NA-NA,Family,31
cape teal,cape teal,wildbird,Cape widgeon,Anas capensis,Anseriformes-Anatidae-Anas-Anas capensis,Species,1
chestnut teal,chestnut-breasted teal,wildbird,Chestnut-breasted teal,Anas castanea,Anseriformes-Anatidae-Anas-Anas castanea,Species,2
american green winged teal,green winged teal ,wildbird,Eurasian teal,Anas crecca,Anseriformes-Anatidae-Anas-Anas crecca,Species,335
anas carolinensis,anas carolinensis,wildbird,Eurasian teal,Anas crecca,Anseriformes-Anatidae-Anas-Anas crecca,Species,2
anas crecca,anas crecca,wildbird,Eurasian teal,Anas crecca,Anseriformes-Anatidae-Anas-Anas crecca,Species,12
commom teal,common teal,wildbird,Eurasian teal,Anas crecca,Anseriformes-Anatidae-Anas-Anas crecca,Species,2
common teal,common teal,wildbird,Eurasian teal,Anas crecca,Anseriformes-Anatidae-Anas-Anas crecca,Species,190
common teal(anas crecca),common teal,wildbird,Eurasian teal,Anas crecca,Anseriformes-Anatidae-Anas-Anas crecca,Species,1
eurasian teal,eurasian teal,wildbird,Eurasian teal,Anas crecca,Anseriformes-Anatidae-Anas-Anas crecca,Species,14
green winged teal,green winged teal,wildbird,Eurasian teal,Anas crecca,Anseriformes-Anatidae-Anas-Anas crecca,Species,317
green winged teal (anas crecca),green winged teal (anas crecca),wildbird,Eurasian teal,Anas crecca,Anseriformes-Anatidae-Anas-Anas crecca,Species,1
green winged teal(anas crecca),green winged teal(anas crecca),wildbird,Eurasian teal,Anas crecca,Anseriformes-Anatidae-Anas-Anas crecca,Species,4
red billed teal,red billed teal,wildbird,Red-billed teal,Anas erythrorhyncha,Anseriformes-Anatidae-Anas-Anas erythrorhyncha,Species,1
chilean teal,yellow-billed teal,wildbird,Yellow-billed teal,Anas flavirostris,Anseriformes-Anatidae-Anas-Anas flavirostris,Species,10
yellow billed teal,yellow billed teal,wildbird,Yellow-billed teal,Anas flavirostris,Anseriformes-Anatidae-Anas-Anas flavirostris,Species,23
sentinel duck,sentinel duck,wildbird,NA,NA,Anseriformes-Anatidae-NA-NA,Family,5
yellow billed pintail,yellow billed pintail,wildbird,Yellowbilled pintail,Anas georgica,Anseriformes-Anatidae-Anas-Anas georgica,Species,23
gray teal,gray teal,wildbird,Grey teal,Anas gracilis,Anseriformes-Anatidae-Anas-Anas gracilis,Species,5
grey teal,grey teal,wildbird,Grey teal,Anas gracilis,Anseriformes-Anatidae-Anas-Anas gracilis,Species,21
anas plathyrhynchos,anas platyrhynchos,wildbird,Mallard,Anas platyrhynchos,Anseriformes-Anatidae-Anas-Anas platyrhynchos,Species,7
anas platyrhynchos,anas platyrhynchos,wildbird,Mallard,Anas platyrhynchos,Anseriformes-Anatidae-Anas-Anas platyrhynchos,Species,270
anas platyrynchos,anas platyrhynchos,wildbird,Mallard,Anas platyrhynchos,Anseriformes-Anatidae-Anas-Anas platyrhynchos,Species,2
mallard,mallard,wildbird,Mallard,Anas platyrhynchos,Anseriformes-Anatidae-Anas-Anas platyrhynchos,Species,5868
mallard (anas platyrhynchos),mallard (anas platyrhynchos),wildbird,Mallard,Anas platyrhynchos,Anseriformes-Anatidae-Anas-Anas platyrhynchos,Species,8
wild duck,wild duck,wildbird,NA,NA,Anseriformes-Anatidae-NA-NA,Family,152
mallard(anas platyrhynchos),mallard,wildbird,Mallard,Anas platyrhynchos,Anseriformes-Anatidae-Anas-Anas platyrhynchos,Species,28
mallard.maryland,mallard.maryland,wildbird,Mallard,Anas platyrhynchos,Anseriformes-Anatidae-Anas-Anas platyrhynchos,Species,1
feral duck,feral duck,wildbird,NA,NA,Anseriformes-Anatidae-NA-NA,Family,1
mllard,mallard,wildbird,Mallard,Anas platyrhynchos,Anseriformes-Anatidae-Anas-Anas platyrhynchos,Species,1
msllard,mallard,wildbird,Mallard,Anas platyrhynchos,Anseriformes-Anatidae-Anas-Anas platyrhynchos,Species,1
sentinel mallard,sentinel mallard,wildbird,Mallard,Anas platyrhynchos,Anseriformes-Anatidae-Anas-Anas platyrhynchos,Species,2
anas poecilorhyncha,anas poecilorhyncha,wildbird,Indian spot-billed duck,Anas poecilorhyncha,Anseriformes-Anatidae-Anas-Anas poecilorhyncha,Species,1
pochard duck,pochard duck,wildbird,NA,NA,Anseriformes-Anatidae-NA-NA,Family,2
black duck,black duck,wildbird,NA,NA,Anseriformes-Anatidae-Anas-NA,Genus,28
spot billed duck,spot billed duck,wildbird,NA,NA,Anseriformes-Anatidae-Anas-NA,Genus,67
spotbill duck,spotbill duck,wildbird,NA,NA,Anseriformes-Anatidae-Anas-NA,Genus,10
wildduck,wildduck,wildbird,NA,NA,Anseriformes-Anatidae-Anas-NA,Genus,1
black headed goose,black headed goose,wildbird,NA,NA,Anseriformes-Anatidae-Anas-NA,Genus,2
goldeneye duck,goldeneye duck,wildbird,NA,NA,Anseriformes-Anatidae-Bucephala-NA,Genus,1
whistling duck,whistling duck,wildbird,NA,NA,Anseriformes-Anatidae-Dendrocygna-NA,Genus,2
wild geese,wild geese,wildbird,NA,NA,Anseriformes-Anatidae-Anas-NA,Genus,6
wild goose,wild goose,wildbird,NA,NA,Anseriformes-Anatidae-Anas-NA,Genus,34
shoveller duck,shoveller duck,wildbird,NA,NA,Anseriformes-Anatidae-Spatula-NA,Genus,1
anser albifrons,anser albifrons,wildbird,White-fronted goose,Anser albifrons,Anseriformes-Anatidae-Anser-Anser albifrons,Species,13
greater white fronted goose,greater white fronted goose,wildbird,White-fronted goose,Anser albifrons,Anseriformes-Anatidae-Anser-Anser albifrons,Species,63
white front goose,white front goose,wildbird,White-fronted goose,Anser albifrons,Anseriformes-Anatidae-Anser-Anser albifrons,Species,4
white fronted goose,white fronted goose,wildbird,White-fronted goose,Anser albifrons,Anseriformes-Anatidae-Anser-Anser albifrons,Species,68
white fronted goose (anser albifrons),white fronted goose (anser albifrons),wildbird,White-fronted goose,Anser albifrons,Anseriformes-Anatidae-Anser-Anser albifrons,Species,3
white fronted goose(anser albifrons),white fronted goose(anser albifrons),wildbird,White-fronted goose,Anser albifrons,Anseriformes-Anatidae-Anser-Anser albifrons,Species,4
whitefronted goose,whitefronted goose,wildbird,White-fronted goose,Anser albifrons,Anseriformes-Anatidae-Anser-Anser albifrons,Species,3
anser anser,anser anser,wildbird,Greylag goose,Anser anser,Anseriformes-Anatidae-Anser-Anser anser,Species,32
graylag goose,graylag goose,wildbird,Greylag goose,Anser anser,Anseriformes-Anatidae-Anser-Anser anser,Species,5
grey goose,grey goose,wildbird,Greylag goose,Anser anser,Anseriformes-Anatidae-Anser-Anser anser,Species,3
grey lag goose,greylag goose,wildbird,Greylag goose,Anser anser,Anseriformes-Anatidae-Anser-Anser anser,Species,2
greylag goose,greylag goose,wildbird,Greylag goose,Anser anser,Anseriformes-Anatidae-Anser-Anser anser,Species,126
anser brachyrhynchus,anser brachyrhynchus,wildbird,Pink-footed goose,Anser brachyrhynchus,Anseriformes-Anatidae-Anser-Anser brachyrhynchus,Species,3
pink footed goose,pink footed goose,wildbird,Pink-footed goose,Anser brachyrhynchus,Anseriformes-Anatidae-Anser-Anser brachyrhynchus,Species,17
lesser snow goose,lesser snow goose,wildbird,Snow goose,Anser caerulescens,Anseriformes-Anatidae-Anser-Anser caerulescens,Species,7
snow goose,snow goose,wildbird,Snow goose,Anser caerulescens,Anseriformes-Anatidae-Anser-Anser caerulescens,Species,49
emperor goose,emperor goose,wildbird,Emperor goose,Anser canagicus,Anseriformes-Anatidae-Anser-Anser canagicus,Species,53
